sa2_name_2016, yr, labour_force_status_persons_aged_15_years_census_employed_num, sa2_maincode_2016
"Rockbank - Mount Cottrell",2016,721,"213041359"
"Maribyrnong",2016,6665,"213031349"
"West Footscray - Tottenham",2016,5861,"213031351"
"Burnside",2016,2035,"213041461"
"Yarraville",2016,8059,"213031352"
"Bacchus Marsh",2016,9307,"213041353"
"Hillside",2016,10243,"213041355"
"Taylors Hill",2016,8777,"213041360"
"Truganina",2016,10155,"213051366"
"Burnside Heights",2016,2739,"213041462"
"Werribee - South",2016,5172,"213051368"
"Wyndham Vale",2016,10398,"213051369"
"Caroline Springs",2016,9400,"213041463"
"Point Cook - East",2016,5889,"213051464"
"Hoppers Crossing - North",2016,9253,"213051361"
"Hoppers Crossing - South",2016,8315,"213051362"
"Laverton",2016,4163,"213051363"
"Point Cook - North",2016,10943,"213051465"
"Tarneit",2016,15548,"213051365"
"Point Cook - South",2016,6880,"213051466"
"Werribee - East",2016,7956,"213051467"
"Carrum Downs",2016,9975,"214011370"
"Werribee - West",2016,5816,"213051468"
"Frankston",2016,10012,"214011371"
"Frankston North",2016,7462,"214011372"
"Langwarrin",2016,12678,"214011374"
"Frankston South",2016,8770,"214011373"
"Hastings - Somers",2016,9767,"214021379"
"Seaford (Vic.)",2016,7631,"214011375"
"Mornington",2016,10171,"214021380"
"Skye - Sandhurst",2016,6882,"214011376"
"Mount Eliza",2016,8290,"214021381"
"Mount Martha",2016,8583,"214021382"
"Point Nepean",2016,6748,"214021383"
"Dromana",2016,4666,"214021377"
"Flinders",2016,2475,"214021378"
"Rosebud - McCrae",2016,7507,"214021384"
"Somerville",2016,9292,"214021385"
